text;success;reference;tags
foxtrot echo bravo romeo uniform alpha romeo yankee;True;F E B R U A R Y;F E B R U A R Y
whiskey hotel india papa papa echo delta;True;W H I P P E D;W H I P P E D
charlie hotel oscar papa papa echo delta;True;C H O P P E D;C H O P P E D
bravo romeo alpha november india foxtrot foxtrot;True;B R A N I F F;B R A N I F F
victor india sierra charlie oscar sierra india tango yankee;True;V I S C O S I T Y;V I S C O S I T Y
papa romeo echo mike india uniform mike;True;P R E M I U M;P R E M I U M
quebec uniform india echo tango;True;Q U I E T;Q U I E T
victor india tango alpha lima;True;V I T A L;V I T A L
bravo uniform november kilo sierra;True;B U N K S;B U N K S
sierra tango india charlie kilo india november golf;True;S T I C K I N G;S T I C K I N G
victor india victor india delta;True;V I V I D;V I V I D
alpha sierra kilo india november golf;True;A S K I N G;A S K I N G
whiskey oscar romeo kilo sierra;True;W O R K S;W O R K S
sierra hotel alpha foxtrot tango;True;S H A F T;S H A F T
charlie hotel india victor echo sierra;True;C H I V E S;C H I V E S
romeo echo quebec uniform india romeo echo mike echo november tango;True;R E Q U I R E M E N T;R E Q U I R E M E N T
whiskey alpha x-ray india november golf;True;W A X I N G;W A X I N G
echo x-ray charlie echo papa tango;True;E X C E P T;E X C E P T
mike uniform lima lima india november golf;True;M U L L I N G;M U L L I N G
victor oscar whiskey india november golf;True;V O W I N G;V O W I N G
sierra whiskey oscar romeo delta foxtrot india sierra hotel;True;S W O R D F I S H;S W O R D F I S H
bravo romeo india november golf;True;B R I N G;B R I N G
juliett oscar golf golf india november golf;True;J O G G I N G;J O G G I N G
whiskey alpha romeo mike india sierra hotel;True;W A R M I S H;W A R M I S H
mike oscar hotel alpha whiskey kilo;True;M O H A W K;M O H A W K
charlie uniform bravo bravo yankee hotel oscar lima echo sierra;True;C U B B Y H O L E S;C U B B Y H O L E S
lima oscar charlie kilo whiskey oscar oscar delta;True;L O C K W O O D;L O C K W O O D
echo x-ray papa echo november sierra echo;True;E X P E N S E;E X P E N S E
foxtrot romeo echo quebec uniform echo november tango;True;F R E Q U E N T;F R E Q U E N T
tango romeo alpha november quebec uniform india lima india zulu echo romeo sierra;True;T R A N Q U I L I Z E R S;T R A N Q U I L I Z E R S
foxtrot alpha november charlie yankee;True;F A N C Y;F A N C Y
juliett alpha charlie kilo echo tango sierra;True;J A C K E T S;J A C K E T S
juliett oscar sierra echo papa hotel;True;J O S E P H;J O S E P H
papa india tango tango sierra bravo uniform romeo golf hotel;True;P I T T S B U R G H;P I T T S B U R G H
papa lima yankee mike oscar uniform tango hotel;True;P L Y M O U T H;P L Y M O U T H
mike india delta golf echo tango tango;True;M I D G E T T;M I D G E T T
foxtrot echo bravo romeo uniform alpha romeo yankee;True;F E B R U A R Y;F E B R U A R Y
whiskey hotel india papa papa echo delta;True;W H I P P E D;W H I P P E D
echo foxtrot foxtrot echo charlie tango india victor echo;True;E F F E C T I V E;E F F E C T I V E
papa oscar victor echo romeo tango yankee;True;P O V E R T Y;P O V E R T Y
bravo echo lima oscar whiskey;True;B E L O W;B E L O W
whiskey india lima lima oscar whiskey yankee;True;W I L L O W Y;W I L L O W Y
whiskey oscar romeo delta sierra;True;W O R D S;W O R D S
alpha delta victor alpha november charlie echo;True;A D V A N C E;A D V A N C E
foxtrot romeo oscar sierra tango;True;F R O S T;F R O S T
charlie alpha victor india tango yankee;True;C A V I T Y;C A V I T Y
bravo oscar bravo bravo yankee;True;B O B B Y;B O B B Y
mike india x-ray echo romeo;True;M I X E R;M I X E R
charlie oscar mike papa lima echo x-ray india tango yankee;True;C O M P L E X I T Y;C O M P L E X I T Y
papa hotel india lima lima yankee;True;P H I L L Y;P H I L L Y
november echo whiskey foxtrot oscar uniform november delta lima alpha november delta;True;N E W F O U N D L A N D;N E W F O U N D L A N D
romeo yankee tango hotel mike india charlie;True;R Y T H M I C;R Y T H M I C
foxtrot juliett oscar romeo delta sierra;True;F J O R D S;F J O R D S
whiskey alpha x-ray echo delta;True;W A X E D;W A X E D
sierra mike india lima india november golf;True;S M I L I N G;S M I L I N G
foxtrot alpha lima lima india november golf;True;F A L L I N G;F A L L I N G
sierra quebec uniform alpha romeo echo;True;S Q U A R E;S Q U A R E
sierra uniform bravo sierra echo quebec uniform echo november tango lima yankee;True;S U B S E Q U E N T L Y;S U B S E Q U E N T L Y
mike alpha golf alpha zulu india november echo;True;M A G A Z I N E;M A G A Z I N E
juliett uniform india charlie yankee;True;J U I C Y;J U I C Y
alpha mike alpha zulu echo delta;True;A M A Z E D;A M A Z E D
sierra lima uniform mike sierra;True;S L U M S;S L U M S
papa lima uniform mike sierra;True;P L U M S;P L U M S
papa romeo oscar tango oscar tango yankee papa echo;True;P R O T O T Y P E;P R O T O T Y P E
papa oscar echo mike sierra;True;P O E M S;P O E M S
sierra whiskey india foxtrot tango;True;S W I F T;S W I F T
bravo uniform yankee echo romeo;True;B U Y E R;B U Y E R
mike echo mike bravo echo romeo sierra;True;M E M B E R S;M E M B E R S
bravo uniform romeo kilo sierra sierra;True;B U R K S S;B U R K S S
delta romeo oscar uniform golf hotel tango;True;D R O U G H T;D R O U G H T
kilo november oscar tango sierra;True;K N O T S;K N O T S
charlie oscar mike mike uniform tango india november golf;True;C O M M U T I N G;C O M M U T I N G
sierra alpha victor india november golf sierra;True;S A V I N G S;S A V I N G S
whiskey oscar bravo bravo lima echo delta;True;W O B B L E D;W O B B L E D
sierra charlie hotel romeo uniform papa papa;True;S C H R U P P;S C H R U P P
foxtrot india x-ray tango uniform romeo echo;True;F I X T U R E;F I X T U R E
